sPDL Tool v2.0 (Last edited 25 July 2015),Testset Quartiles,SiO2, , , ,TiO2, , , ,Al2O3, , , ,FeOT, , , ,MgO, , , ,CaO, , , ,Na2O, , , ,K2O, , , ,,,,
CL5_400333029CCS_F0040000CCAM03032P3.CSV,Taltheilei,59.3,+/-,5.3,0.7,0.7,+/-,0.42,0.01,17.1,+/-,3.7,0.3,5.8,+/-,2.1,1.4,2.4,+/-,1.6,0.1,5.8,+/-,1.9,0.1,5.24,+/-,0.93,0.31,1.64,+/-,1.1,0.15,97.93,2.50875,100A/95A/95A,4.37E+14
CL5_400333125CCS_F0040000CCAM03032P3.CSV,Taltheilei,51.9,+/-,5,0.6,0.73,+/-,0.43,0.01,19.9,+/-,3.7,0.7,8.8,+/-,2.5,1,1.8,+/-,1.5,0.3,9,+/-,2.7,0.3,5.3,+/-,0.94,0.21,0.36,+/-,0.61,0.04,97.9,2.50875,100A/95A/95A,4.86E+14
CL5_400422236CCS_F0040000CCAM04033P3.CSV,Beaulieu,43,+/-,5.1,1.4,0.83,+/-,0.46,0.16,8.1,+/-,3.4,0.7,18.6,+/-,4,1,9.1,+/-,2.5,0.8,7.6,+/-,2.4,0.8,1.88,+/-,0.64,0.23,0.18,+/-,0.55,0.05,89.33,3.14263,100A/95A/95A,4.14E+14
CL5_400422333CCS_F0040000CCAM04033P3.CSV,Beaulieu,55.2,+/-,5.1,0.5,0.74,+/-,0.43,0.01,21,+/-,3.7,0.2,2.5,+/-,1.8,0.3,2.1,+/-,1.6,0.1,9.8,+/-,2.9,0.1,6.72,+/-,1.1,0.12,1.72,+/-,1.12,0.12,99.85,3.14263,100A/95A/95A,5.00E+14
CL5_400422430CCS_F0040000CCAM04033P3.CSV,Beaulieu,60.5,+/-,5.3,0.3,0.69,+/-,0.42,0.03,17.6,+/-,3.7,1,1.8,+/-,1.7,1,1.7,+/-,1.5,0.2,4.5,+/-,1.6,0.2,6.07,+/-,1.03,0.14,3.05,+/-,1.16,0.3,95.95,3.14263,100A/95A/95A,4.55E+14
CL5_400422527CCS_F0040000CCAM04033P3.CSV,Beaulieu,66.1,+/-,5.4,1.1,0.64,+/-,0.4,0.01,20.4,+/-,3.7,0.3,0.5,+/-,1.6,0.3,1.2,+/-,1.5,0.1,4.8,+/-,1.6,0.2,4.11,+/-,0.71,0.37,0.38,+/-,0.62,0.05,98.1,3.14263,100A/95A/95A,2.78E+14
CL5_400422624CCS_F0040000CCAM04033P3.CSV,Beaulieu,50.9,+/-,5,1.1,1.05,+/-,0.5,0.04,13.4,+/-,3.6,1.1,20.3,+/-,4.3,0.4,3.6,+/-,1.7,0.3,5.8,+/-,1.9,0.3,3.32,+/-,0.64,0.34,0.33,+/-,0.6,0.04,98.71,3.14263,100A/95A/95A,5.39E+14
CL5_401308018CCS_F0041632CCAM03043P3.CSV,Kam,53.9,+/-,5.1,0.5,0.78,+/-,0.44,0.01,17.4,+/-,3.7,0.7,9.6,+/-,2.6,0.9,2.9,+/-,1.6,0.2,10.8,+/-,3,0.4,5.33,+/-,0.95,0.29,0.69,+/-,0.74,0.05,101.35,3.47127,100A/95A/95A,5.55E+14
CL5_401308095CCS_F0041632CCAM03043P3.CSV,Kam,43,+/-,5.1,1.7,1.08,+/-,0.51,0.18,9.6,+/-,3.5,1,19.2,+/-,4.1,0.4,6.3,+/-,2,1.6,7.6,+/-,2.4,0.9,1.97,+/-,0.63,0.33,0.22,+/-,0.56,0.08,88.97,3.47127,100A/95A/95A,5.34E+14
CL5_401308172CCS_F0041632CCAM03043P3.CSV,Kam,50.6,+/-,5,1,0.92,+/-,0.48,0.1,18.7,+/-,3.7,1.8,15.8,+/-,3.5,1,6.3,+/-,2,0.5,9.3,+/-,2.8,0.3,3.09,+/-,0.63,0.33,0.41,+/-,0.63,0.09,105.08,3.47127,100A/95A/95A,2.08E+14
CL5_401308287CCS_F0041632CCAM03043P3.CSV,Kam,46,+/-,5,0.6,1.2,+/-,0.54,0.03,10.6,+/-,3.5,0.3,20.4,+/-,4.3,0.4,5,+/-,1.9,0.1,7,+/-,2.3,0.1,3.13,+/-,0.63,0.08,0.4,+/-,0.62,0.02,93.86,3.47127,100A/95A/95A,7.09E+14
CL5_401308364CCS_F0041632CCAM03043P3.CSV,Kam,55.6,+/-,5.1,0.5,0.23,+/-,0.26,0.27,22.4,+/-,3.8,0.2,0.2,+/-,1.6,0.5,2.1,+/-,1.6,0.1,10.1,+/-,2.9,0.1,6.33,+/-,1.06,0.13,0.56,+/-,0.68,0.04,97.49,3.47127,100A/95A/95A,3.99E+14
